app,review,rating,date
CBE,CBE mobilr bankg,5,2025-05-05T14:25:29
CBE,wow,1,2025-05-05T12:25:17
CBE,verygood,3,2025-05-05T03:06:27
CBE,Ù…Ù…ØªØ§Ø² Ø¬Ø¯Ø§,5,2025-05-04T20:08:37
CBE,it's very low quality application,1,2025-05-04T19:23:40
CBE,Very Amazing Apps,5,2025-05-04T18:03:08
CBE,áŠ á‹›,1,2025-05-04T17:41:19
CBE,wow simple life,5,2025-05-04T06:07:03
CBE,it's nice,5,2025-05-03T20:32:24
CBE,Why stacked sometimes,5,2025-05-03T14:48:40
CBE,good app,5,2025-05-03T14:18:05
CBE,nice,5,2025-05-03T12:54:17
CBE,okay ğŸ‘ but sometimes busy,1,2025-05-03T12:04:28
CBE,the worst commercial company that fails to do even the most normal things again and and again.,1,2025-05-03T11:10:57
CBE,nice,5,2025-05-03T10:38:48
CBE,Very good app. but disappointed by general cessation of system.,5,2025-05-02T21:48:08
CBE,excellent,5,2025-05-02T21:34:09
CBE,good,5,2025-05-02T20:46:24
CBE,good,5,2025-05-02T18:41:21
CBE,Good and fast,5,2025-05-02T18:26:06
CBE,Unreliable!,1,2025-05-02T18:00:51
CBE,Best the best fast,5,2025-05-02T17:41:29
CBE,good app,5,2025-05-02T17:38:21
CBE,happy,5,2025-05-02T17:21:51
CBE,fast and reliable,5,2025-05-02T17:09:37
CBE,network errorrrrrr,2,2025-05-02T16:52:00
CBE,Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full,4,2025-05-02T16:42:07
CBE,its good and simple to use,5,2025-05-02T15:47:48
CBE,worest app like that bank for security and network access,1,2025-05-02T15:44:39
CBE,it's the best app i,5,2025-05-02T15:03:06
CBE,not bad not good,1,2025-05-02T14:57:44
CBE,its very nice,5,2025-05-02T14:56:32
CBE,do not work this week,3,2025-04-30T10:24:09
CBE,It crashes frequently,4,2025-04-30T07:14:38
CBE,the best,5,2025-04-28T20:52:10
CBE,"I can simply describe this app as ""Making all your work easier"".",5,2025-04-28T20:03:30
CBE,goid,5,2025-04-28T19:58:49
CBE,best appearance,5,2025-04-27T21:57:03
CBE,it's very good ğŸ‘ app,5,2025-04-27T16:40:09
CBE,I need support you,5,2025-04-27T00:36:30
CBE,the worst Mobile banking i have ever seen in my life,1,2025-04-26T23:06:19
CBE,super,5,2025-04-26T16:12:32
CBE,áŒ áŒ€áŒ¨áŒˆáŒ€á¢áŒ€áŒˆ,5,2025-04-26T13:34:03
CBE,i like the app,5,2025-04-26T12:43:28
CBE,the Best,1,2025-04-26T11:51:19
CBE,nice,5,2025-04-26T09:52:40
CBE,good,5,2025-04-26T02:03:26
CBE,good,5,2025-04-25T14:23:17
CBE,to other bank is bad,1,2025-04-25T11:12:26
CBE,tank's,5,2025-04-25T09:22:36
CBE,its good but add more features such like. bank statement showing,5,2025-04-24T16:34:59
CBE,it is so nice,5,2025-04-24T15:18:02
CBE,good,5,2025-04-21T18:27:21
CBE,Very GoodğŸ‘,5,2025-04-21T18:13:05
CBE,"my first frequent experience of cbe app is critical-time failure such as suspending payment on air for 2-5 days with zero explanation, deducting from sender account without depositing to the receiver act. Another fatal error by the banking company as a whole (not the app itself though) is forced-banking with corporations without consent of employers-users of the corresponding corporations",2,2025-04-21T14:44:01
CBE,"wow, amazing app",5,2025-04-21T13:35:11
CBE,use ful,5,2025-04-21T11:11:23
CBE,Great app,5,2025-04-21T11:05:41
CBE,well app,5,2025-04-20T16:14:07
CBE,Actually it is inactive,4,2025-04-19T22:01:42
CBE,good,4,2025-04-19T21:10:32
CBE,ok,2,2025-04-19T19:39:28
CBE,best app,5,2025-04-19T17:51:50
CBE,amazing,1,2025-04-19T16:56:43
CBE,good,5,2025-04-19T16:14:01
CBE,I like,5,2025-04-19T15:52:13
CBE,"slow, only one account is used",2,2025-04-19T10:37:43
CBE,ok,5,2025-04-19T02:03:14
CBE,always CBE is the leading Commercial BankğŸ’ªğŸ’ªğŸ’ª,5,2025-04-18T21:11:57
CBE,i like it,5,2025-04-18T21:02:33
CBE,why removing screenshot feature why?,1,2025-04-18T18:47:21
CBE,nice apps where network is good in connection,5,2025-04-18T17:30:08
CBE,Thank you!!!,5,2025-04-18T14:40:52
CBE,i can't take screenshot,1,2025-04-18T11:59:02
CBE,"every update was made the system better and better until the March 19th, 2025 update, not allowing us to screenshot. you guys didn't understand how much it's a really quick and significant thing. You add extra steps to us, which makes the process draw back",3,2025-04-18T11:22:05
CBE,perfectly special,5,2025-04-18T09:54:09
CBE,Fast and Reliable,5,2025-04-18T08:32:31
CBE,good,5,2025-04-17T21:23:35
CBE,The best application I have ever seen in Ethiopia banking industry.,5,2025-04-17T18:58:17
CBE,great app!!!,5,2025-04-17T10:12:46
CBE,because sometimes it doesn't working it load too much,3,2025-04-17T09:01:39
CBE,"Absolutely the best app! It works flawlessly, anytime and anywhere.",5,2025-04-17T04:08:27
CBE,ok,3,2025-04-16T19:36:58
CBE,very nice app ever!!!,5,2025-04-16T18:40:04
CBE,the best app,5,2025-04-16T18:25:00
CBE,Biometric security for mobile banking is not available,5,2025-04-16T08:57:55
CBE,great,5,2025-04-15T20:17:23
CBE,Nice service,5,2025-04-15T19:05:24
CBE,great app,5,2025-04-15T18:53:26
CBE,it's special apps,5,2025-04-15T11:31:03
CBE,"In the updated version of the app, it takes more time to download the receipt.",3,2025-04-15T08:09:02
CBE,áˆˆáˆáŠ•á‹µáŠá‹ á‰µáˆ«áŠ•á‹›áŠ­áˆ½áŠ• á‰µáŠ•áˆ½ á‰¥á‰» á‹¨áˆšá‹«áˆ³á‹¨á‹ ?,3,2025-04-14T23:37:05
CBE,Good ğŸ”¥,5,2025-04-14T18:29:53
CBE,very interesting app i am using every day fantastic,5,2025-04-14T14:12:07
CBE,lebaa bank,5,2025-04-14T13:48:30
CBE,Can't scan/recognize other banks' Interoperable QR Codes,1,2025-04-13T23:48:47
CBE,OK,5,2025-04-13T19:28:45
CBE,grateful app,5,2025-04-13T15:33:17
CBE,100% â¤ï¸â¤ï¸â¤ï¸ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™,5,2025-04-13T14:00:29
CBE,everthing wellbeok,3,2025-04-13T10:20:40
CBE,"""This mobile banking app is fast and user-friendly, but the only issue I encountered is that I can't access my bank statement within the app. I kindly request that this feature be added, similar to what is offered by other private bank mobile banking apps.",4,2025-04-13T00:37:04
CBE,nice app ğŸ‘Œ,5,2025-04-12T22:44:46
CBE,why did this app is not screenshot,5,2025-04-12T21:57:56
CBE,it so good app,5,2025-04-12T21:42:12
CBE,the best app,3,2025-04-12T09:53:03
CBE,Ø¬Ù…ÙŠÙ„,5,2025-04-11T17:47:43
CBE,"less network, specially to make fee for utility purpose",1,2025-04-11T15:04:22
CBE,nice,5,2025-04-11T13:53:40
CBE,simply for used,4,2025-04-11T01:44:02
CBE,wow keep up,5,2025-04-10T19:52:15
CBE,its great app but when updating we can't take screen shot please try to fix it,3,2025-04-10T19:18:15
CBE,good one,5,2025-04-10T17:48:30
CBE,best app.,5,2025-04-10T17:25:11
CBE,everything is easy thank you cebe,5,2025-04-10T14:03:46
CBE,áˆáŒ£áŠ• á‰€áˆáŒ£á‹,5,2025-04-10T10:23:27
CBE,good,5,2025-04-10T08:35:36
CBE,ok,5,2025-04-10T00:09:52
CBE,áŒá‰ á‹,5,2025-04-09T22:39:46
CBE,good app,5,2025-04-09T17:44:25
CBE,but this app says can't sync,5,2025-04-09T17:09:47
CBE,waw,5,2025-04-09T15:59:48
CBE,to slow,3,2025-04-09T14:32:30
CBE,work on screen shot system,4,2025-04-08T20:15:30
CBE,very very nice aplication,1,2025-04-08T18:14:50
CBE,Good,5,2025-04-08T17:28:38
CBE,wonder full and it is easy to use,5,2025-04-08T15:41:25
CBE,easy and reliable,2,2025-04-08T13:16:22
CBE,good,5,2025-04-08T08:59:33
CBE,it is Very Useful app ğŸ‘,5,2025-04-07T21:32:32
CBE,very good,5,2025-04-07T18:44:24
CBE,perfect app,5,2025-04-07T17:43:42
CBE,I like it.,5,2025-04-07T15:58:32
CBE,bugs,3,2025-04-07T08:41:28
CBE,commerial Bank,5,2025-04-06T23:24:32
CBE,Genat biru,2,2025-04-06T22:00:01
CBE,ğŸ™,5,2025-04-06T21:36:20
CBE,it is good but it doesn't allow screen shot,4,2025-04-06T20:41:11
CBE,the best one,5,2025-04-06T18:47:53
CBE,You need to copy many things from other bank apps like Amole(Dashen),2,2025-04-06T10:41:10
CBE,bring back the screenshot feature.,1,2025-04-05T20:17:01
CBE,Good!ğŸ‘,3,2025-04-05T16:51:40
CBE,best app to experience him that to smooth transaction among the customers,1,2025-04-05T14:33:24
CBE,good,5,2025-04-05T09:34:22
CBE,nice app suitable to use it. the only weak side is it need data connections and hoping will be fixed to offline i gave 4 rate,4,2025-04-05T05:18:52
CBE,easy to use,5,2025-04-05T04:27:33
CBE,"Good job to the CBE team on this mobile app! It's designed in a way that's simple and intuitive to navigate, which is great for everyone. It effectively handles the essential banking tasks I need to perform regularly. It's a practical and reliable tool that makes everyday banking much more convenient. Thank you for this useful application.",5,2025-04-04T22:18:47
CBE,áˆˆáŠ” á‰ áŒ£áˆ áˆáˆ­áŒ¥ áŠá‹ áŒáŠ• screenshot áˆ›áˆ¨áŒ á‰¢á‰»áˆ áˆáˆ­áŒ¥ áŠá‰ áˆ­,5,2025-04-04T17:18:55
CBE,before it was smooth and good. this time after the new update in 2025 i can not make screenshot of my recite. even the downlod button is very delayed in putting my recite in my gallery for simple proof. please fix this i am unable to show proof of payment to my clients. thankyou.,3,2025-04-04T13:50:52
CBE,cool â¤,4,2025-04-04T13:32:01
CBE,Best app,5,2025-04-04T05:31:48
CBE,great app,5,2025-04-03T20:30:39
CBE,best banking App,4,2025-04-03T20:27:17
CBE,satisfied,5,2025-04-03T18:09:34
CBE,this app is very necessary app many people found it,5,2025-04-03T17:03:33
CBE,cbe very active Bank I'm using CBE app very very satisfaction,5,2025-04-03T16:04:21
CBE,It made life alot easier. I cant even imagine having to make all those transactions in person. So this app was crucial for me. Very good app. well done.,5,2025-04-03T12:42:41
CBE,excellent,5,2025-04-03T08:53:46
CBE,perfect,5,2025-04-03T02:17:01
CBE,thankyou,5,2025-04-02T21:36:00
CBE,I Like it,5,2025-04-02T21:09:13
CBE,ok,5,2025-04-02T20:08:03
CBE,"I don't understand the reason, why I need to disable developer options to access the app, it has no security risks nor does it hinder the app's functionalities. This goes out to the dev, I hope your life is filled with inconveniences.",1,2025-04-02T16:13:34
CBE,smart app,5,2025-04-02T14:29:55
CBE,isin ga'a,2,2025-04-02T12:00:12
CBE,easy to use,5,2025-04-02T07:37:27
CBE,it's great,5,2025-04-02T04:19:30
CBE,very good app and stars faction with work,5,2025-04-02T01:37:43
CBE,It is excelent,5,2025-04-01T23:45:32
CBE,Smart,5,2025-04-01T23:41:16
CBE,á‰ á‹¨á‹ˆáˆ© áŠ á•á‹°á‰µ áŠ¥á‹¨áŒ á‹¨á‰€áŠ áŠá‹ áˆˆáŠáŒˆáˆ© á‰¥áˆ­ áˆµáˆŒáˆˆáŠ á‹­áˆ†áŠ“áˆ áŠ¥áŠ“ áˆáŠ• áˆˆáˆ›áˆˆá‰µ áˆáˆáŒˆ áˆ˜áˆ°áˆ‹á‰¹ á‹ˆáˆ‹áˆ… á‰¼áŒáˆ®áŠ›áˆ ğŸ¥ºğŸ¥ºğŸ¥º,3,2025-04-01T19:16:48
CBE,very interesting app,5,2025-04-01T19:10:43
CBE,i like it,5,2025-04-01T19:00:17
CBE,wow.......cbe.....keep it up.....!!!!!!,5,2025-04-01T17:05:08
CBE,áŒŠá‹œáŠ• á‰†áŒ£á‰¢ áŠ¥áŠ“ áˆ…á‹­á‹ˆá‰µáŠ• á‰€áˆˆáˆ áŠ¨áˆšá‹«á‹°áˆ­áŒ‰ áŠ¢á‰µá‹¬áŒ²á‹« áŠ«áˆ‰ á‹á‹­áŠ“áŠ•áˆµ áŠ á•áˆáŠ¬áˆ½áŠ–á‰½ áˆáˆ‰ á‹­áˆ„ á‹­áˆˆá‹«áˆ,5,2025-04-01T16:58:25
CBE,ExcellentğŸ™app,5,2025-04-01T15:09:01
CBE,the most useful,5,2025-04-01T14:48:59
CBE,I am more satisfied in this app . More sure you have to secure.,4,2025-04-01T14:37:20
CBE,Easy to use,5,2025-04-01T14:04:45
CBE,"very good, but sometimes NUR CBE comes without my consent. even if I choose locked, it appears",4,2025-04-01T13:52:59
CBE,Excellent !!!,5,2025-04-01T13:49:06
CBE,always we relay on,5,2025-04-01T12:33:40
CBE,I'm lucky to have thisğŸ™ thank you CBE.,5,2025-04-01T12:23:51
CBE,it's need more improvement like Tellbirr.,4,2025-04-01T11:53:22
CBE,goode app,5,2025-04-01T11:38:56
CBE,a very nice app.ğŸ‘ğŸ‘ğŸ‘,5,2025-04-01T09:58:58
CBE,safe easy & fast,5,2025-04-01T09:56:59
CBE,perfect,5,2025-04-01T09:51:55
CBE,it's good app,5,2025-04-01T09:41:54
CBE,nice,5,2025-04-01T09:34:36
CBE,good app,5,2025-04-01T09:08:41
CBE,It is veary useful app but screen shout was impossible .solve this problem,5,2025-04-01T08:59:21
CBE,áŒ¥áˆ© áŠá‹,5,2025-04-01T08:59:11
CBE,áŠ¥áŒ…áŒ á‰ áŒ£áˆ áŒ¥áˆ© áŠ á•,5,2025-04-01T08:47:19
CBE,good,5,2025-04-01T08:24:25
CBE,á‰ áŒ£áˆ áˆƒáˆªá áŠá‹ áŒáŠ• á‰¥áˆ­ á‰ áˆšá‰°áˆ‹áˆˆáá‰ á‰µ á‹ˆá‰…á‰µ á‰°á‰€áŠ•áˆ·áˆ á‹­áˆ‹áˆ áŠ¥áˆ‹áŠ áˆ˜áˆáŠ­á‰± á‹­á‹°áˆ­áˆ³áˆ áŒáŠ• áŠ á‹­á‰€áŠ•áˆµáˆ,5,2025-04-01T07:44:30
CBE,suitable app,4,2025-04-01T07:44:01
CBE,Dear cbe this app is not comparable with 21century and pls try to solve it.ğŸ’€ğŸ’€ğŸ’€,1,2025-04-01T06:32:36
CBE,Good,5,2025-04-01T06:20:58
CBE,nice app,5,2025-04-01T06:18:50
CBE,best transaction method of financial,5,2025-04-01T06:00:41
CBE,#CBE is Now going to on the right Pathway/track/!! Thank you CBE one step ahead on payment platform app!!,5,2025-04-01T05:24:12
CBE,It literarily don't work at all,4,2025-04-01T04:58:15
CBE,good give us plus,5,2025-04-01T03:04:22
CBE,"Very good application. However, I have one functionality recommendation. What if you let the app transfer money to any telebirr account as for MPESA? By the way, I am not the only one to ask this. Thank you!",4,2025-04-01T01:27:55
CBE,before update it was able to screenshot while after update I can't able to screenshot the transfere details,4,2025-04-01T00:39:45
CBE,Tnc Cbe,5,2025-04-01T00:08:46
CBE,it is good app. But you have integrate cbe with cbe birr. to allow cardless withdrawal directly from our accout!,4,2025-03-31T23:41:26
CBE,great apps,5,2025-03-31T23:08:38
CBE,Excellent,5,2025-03-31T22:31:02
CBE,Great app!,4,2025-03-31T22:28:45
CBE,nice,5,2025-03-31T21:45:13
CBE,CBE,5,2025-03-31T21:24:42
CBE,very good ğŸ‘ ğŸ‘,5,2025-03-31T21:09:27
CBE,great when it works,5,2025-03-31T21:04:26
CBE,"the app is very good, but why screenshots is impossible?",5,2025-03-31T20:54:32
CBE,excellent match application,5,2025-03-31T20:18:19
CBE,very good,5,2025-03-31T19:45:55
CBE,best app,5,2025-03-31T19:30:43
CBE,The Best appğŸ˜ğŸ˜ğŸ˜,5,2025-03-31T18:51:04
